what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485504770212
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485504772507
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485504821427
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485504823018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485504829000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485504830330
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485504863606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485504866148
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485504868660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485504874266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485504885600
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485504906620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485504910520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485504910707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485504910894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485504911534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485504913063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485504924845
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1485504928666
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485504930524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1485504934617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485504937444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485504957152
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485504958243
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485504984594
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485504985250
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485504986579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485504992431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485504994529
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485504995949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485504997467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485505062254
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485505077620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485505080021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485505081489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1485505082647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485505086176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485505087453
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485505115822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485505117104
