what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486026970539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486026981560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486026984846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027060279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027061835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027082081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027096638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027099401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027101868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027472163
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1486027475363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1486027487746
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1486027493440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1486027497529
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1486027499575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486027501673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027505526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027505588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027510299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027510377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1486027541347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486027547919
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1486027551980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1486027552995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486027554647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1486027558538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486027562888
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1486027613099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486027615268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1486027620355
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1486027645333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1486027645972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486027648422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1486027652604
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486027655786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486027659470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1486027664964
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1486027670005
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1486027670426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486027672204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486027678157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027731705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027733156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027734235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027981180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027991145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486027997996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486028003744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486028006456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486028029367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486028034082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486028038678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486028065465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486028068982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486030981523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1486030986662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1486030987583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031000227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031013533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1486031018909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1486031061697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031071907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031168404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031186564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031186800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031195941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031196050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1486031200049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031205624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031222760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031233825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031279698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031281086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486031706157
