what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485512980005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485513027512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1485513037940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485513053537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485513074389
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485513088030
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485513090623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485513108032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485513297189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485513351714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485513359033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485513360655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485513525054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485513526957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485513904932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485513906320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485514089325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485514093832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485514099760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485518711330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485518761784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485519793842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485519803597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485519811978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485519814288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485519823197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485519832577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485519833450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485519846606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485520617961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485520621333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843093636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843094104
