what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486033999927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486034008819
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1486034012105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486034014796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486034030592
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1486034031392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486034038194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486034053682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486034060626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486034066497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486034079038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486034297806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486034317293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486034398073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486034399263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486034824309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486034833491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486035015526
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1486035030114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486035065087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486035071775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486035073109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486035226764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486035232084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486101841252
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1486101842422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486101846996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486104831534
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1486104856544
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1486104858355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486104871744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486104890378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486104936706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486104946328
